31-42 State-gov >=11 Never-married Adm-clerical Not-in-family White Male >0 0 40 United-States <=50K 
>=43 Self-emp-not-inc >=11 Married-civ-spouse Exec-managerial Husband White Male 0 0 <40 United-States <=50K 
31-42 Private 9-10 Divorced Handlers-cleaners Not-in-family White Male 0 0 40 United-States <=50K 
>=43 Private <=8 Married-civ-spouse Handlers-cleaners Husband Black Male 0 0 40 United-States <=50K 
<=30 Private >=11 Married-civ-spouse Prof-specialty Wife Black Female 0 0 40 Others <=50K 
31-42 Private >=11 Married-civ-spouse Exec-managerial Wife White Female 0 0 40 United-States <=50K 
>=43 Private <=8 Married-spouse-absent Other-service Not-in-family Black Female 0 0 <40 Others <=50K 
>=43 Self-emp-not-inc 9-10 Married-civ-spouse Exec-managerial Husband White Male 0 0 >40 United-States >50K 
31-42 Private >=11 Never-married Prof-specialty Not-in-family White Female >0 0 >40 United-States >50K 
31-42 Private >=11 Married-civ-spouse Exec-managerial Husband White Male >0 0 40 United-States >50K 
31-42 Private 9-10 Married-civ-spouse Exec-managerial Husband Black Male 0 0 >40 United-States >50K 
<=30 State-gov >=11 Married-civ-spouse Prof-specialty Husband Asian-Pac-Islander Male 0 0 40 Others >50K 
<=30 Private >=11 Never-married Adm-clerical Own-child White Female 0 0 <40 United-States <=50K 
31-42 Private >=11 Never-married Sales Not-in-family Black Male 0 0 >40 United-States <=50K 
31-42 Private >=11 Married-civ-spouse Craft-repair Husband Asian-Pac-Islander Male 0 0 40 Others >50K 
31-42 Private <=8 Married-civ-spouse Transport-moving Husband Amer-Indian-Eskimo Male 0 0 >40 Others <=50K 
<=30 Self-emp-not-inc 9-10 Never-married Farming-fishing Own-child White Male 0 0 <40 United-States <=50K 
31-42 Private 9-10 Never-married Machine-op-inspct Unmarried White Male 0 0 40 United-States <=50K 
31-42 Private <=8 Married-civ-spouse Sales Husband White Male 0 0 >40 United-States <=50K 
>=43 Self-emp-not-inc >=11 Divorced Exec-managerial Unmarried White Female 0 0 >40 United-States >50K 
31-42 Private >=11 Married-civ-spouse Prof-specialty Husband White Male 0 0 >40 United-States >50K 
>=43 Private 9-10 Separated Other-service Unmarried Black Female 0 0 <40 United-States <=50K 
31-42 Federal-gov <=8 Married-civ-spouse Farming-fishing Husband Black Male 0 0 40 United-States <=50K 
>=43 Private <=8 Married-civ-spouse Transport-moving Husband White Male 0 >0 40 United-States <=50K 
>=43 Private 9-10 Divorced Tech-support Unmarried White Female 0 0 40 United-States <=50K 
>=43 Local-gov >=11 Married-civ-spouse Tech-support Husband White Male 0 0 40 United-States >50K 
<=30 Private 9-10 Never-married Craft-repair Own-child White Male 0 0 40 United-States <=50K 
>=43 ? 9-10 Married-civ-spouse ? Husband Asian-Pac-Islander Male 0 0 >40 Others >50K 
31-42 Private 9-10 Divorced Exec-managerial Not-in-family White Male 0 0 >40 United-States <=50K 
>=43 Private 9-10 Married-civ-spouse Craft-repair Husband White Male 0 0 40 United-States <=50K 
<=30 Local-gov >=11 Never-married Protective-serv Not-in-family White Male 0 0 >40 United-States <=50K 
<=30 Private 9-10 Never-married Sales Own-child Black Male 0 0 >40 United-States <=50K 
>=43 Private >=11 Divorced Exec-managerial Own-child White Male 0 >0 40 United-States <=50K 
<=30 Federal-gov 9-10 Married-civ-spouse Adm-clerical Own-child White Male 0 0 40 United-States <=50K 
<=30 State-gov 9-10 Married-civ-spouse Other-service Husband Black Male 0 0 <40 United-States <=50K 
>=43 Private <=8 Never-married Machine-op-inspct Unmarried White Male 0 0 40 Others <=50K 
<=30 Private 9-10 Never-married Machine-op-inspct Own-child White Male 0 0 40 United-States <=50K 
<=30 Private 9-10 Married-AF-spouse Adm-clerical Wife White Female 0 0 <40 United-States <=50K 
31-42 Private 9-10 Married-civ-spouse Sales Husband White Male 0 0 <40 Others >50K 
>=43 Self-emp-not-inc >=11 Married-civ-spouse Prof-specialty Husband White Male 0 0 40 United-States <=50K 
31-42 Private <=8 Married-civ-spouse Machine-op-inspct Husband White Male 0 0 >40 United-States <=50K 
>=43 Self-emp-not-inc >=11 Married-civ-spouse Prof-specialty Husband White Male 0 0 40 United-States <=50K 
<=30 Private >=11 Married-civ-spouse Tech-support Husband White Male 0 0 >40 United-States <=50K 
>=43 Private 9-10 Separated Adm-clerical Unmarried White Female 0 0 40 United-States <=50K 
<=30 Private 9-10 Never-married Handlers-cleaners Not-in-family White Male 0 0 <40 United-States <=50K 
>=43 Federal-gov >=11 Married-civ-spouse Prof-specialty Husband Black Male 0 0 40 United-States >50K 
>=43 Private 9-10 Married-civ-spouse Machine-op-inspct Husband White Male 0 0 <40 United-States <=50K 
>=43 Private >=11 Divorced Exec-managerial Unmarried White Female 0 0 40 United-States <=50K 
31-42 State-gov >=11 Married-civ-spouse Craft-repair Husband White Male 0 0 40 United-States <=50K 
<=30 Private >=11 Never-married Prof-specialty Not-in-family White Male 0 0 >40 United-States <=50K 
<=30 Private 9-10 Married-civ-spouse Exec-managerial Wife Other Female 0 0 40 United-States <=50K 
<=30 Private 9-10 Never-married Other-service Own-child White Female 0 0 <40 Others <=50K 
>=43 Private >=11 Married-civ-spouse Prof-specialty Wife White Female 0 >0 >40 Others >50K 
>=43 Federal-gov >=11 Divorced Exec-managerial Not-in-family White Male 0 0 >40 United-States >50K 
>=43 Self-emp-inc 9-10 Divorced Exec-managerial Not-in-family White Male 0 0 >40 United-States <=50K 
>=43 Private 9-10 Married-civ-spouse Tech-support Husband White Male 0 0 40 United-States >50K 
>=43 Private <=8 Married-civ-spouse Machine-op-inspct Husband White Male 0 0 40 Others <=50K 
31-42 Private >=11 Married-civ-spouse Other-service Husband White Male 0 0 40 Others <=50K 
31-42 Private 9-10 Married-civ-spouse Adm-clerical Husband White Male 0 0 >40 United-States <=50K 
<=30 Private 9-10 Married-civ-spouse Machine-op-inspct Husband White Male >0 0 40 United-States <=50K 
<=30 Private >=11 Married-civ-spouse Sales Husband White Male >0 0 40 United-States <=50K 
31-42 ? <=8 Married-spouse-absent ? Not-in-family White Male 0 0 40 Others <=50K 
>=43 Private 9-10 Married-civ-spouse Transport-moving Husband White Male 0 0 40 United-States <=50K 
31-42 Private >=11 Married-civ-spouse Prof-specialty Husband White Male 0 0 >40 United-States >50K 
<=30 Private 9-10 Divorced Tech-support Not-in-family White Male 0 0 >40 United-States <=50K 
31-42 Private 9-10 Married-civ-spouse Craft-repair Husband White Male 0 0 40 United-States <=50K 
<=30 Private 9-10 Divorced Adm-clerical Not-in-family White Female 0 0 40 United-States <=50K 
>=43 Private 9-10 Married-civ-spouse Adm-clerical Wife White Female 0 0 40 United-States >50K 
>=43 Self-emp-inc 9-10 Married-civ-spouse Exec-managerial Husband White Male 0 0 >40 United-States >50K 
<=30 ? 9-10 Never-married ? Own-child White Male 0 0 40 United-States <=50K 
<=30 Private 9-10 Never-married Prof-specialty Own-child White Male 0 0 <40 United-States <=50K 
31-42 Private >=11 Separated Sales Own-child Black Female 0 0 40 United-States <=50K 
<=30 Self-emp-not-inc >=11 Married-civ-spouse Sales Husband White Male 0 0 >40 United-States >50K 
<=30 Private 9-10 Never-married Machine-op-inspct Not-in-family White Male 0 0 40 United-States <=50K 
>=43 Private 9-10 Married-civ-spouse Prof-specialty Other-relative White Male 0 0 <40 United-States <=50K 
<=30 Private 9-10 Never-married Other-service Own-child White Male 0 0 40 Others <=50K 
31-42 Private >=11 Married-civ-spouse Adm-clerical Husband White Male 0 0 40 United-States <=50K 
>=43 ? <=8 Married-civ-spouse ? Husband White Male 0 0 <40 United-States <=50K 
<=30 Private <=8 Never-married Other-service Own-child White Female 0 0 <40 United-States <=50K 
31-42 Local-gov <=8 Married-civ-spouse Farming-fishing Husband White Male 0 0 40 United-States <=50K 
<=30 Private 9-10 Never-married Sales Not-in-family White Male 0 0 <40 United-States <=50K 
>=43 Private >=11 Married-civ-spouse Other-service Husband White Male 0 0 40 Others <=50K 
>=43 Private 9-10 Married-civ-spouse Other-service Wife White Female 0 0 40 United-States <=50K 
>=43 Private 9-10 Married-civ-spouse Sales Husband White Male 0 0 >40 United-States <=50K 
>=43 Private 9-10 Divorced Craft-repair Not-in-family White Female >0 0 40 United-States >50K 
>=43 Private 9-10 Divorced Sales Own-child White Female 0 0 <40 United-States <=50K 
>=43 Local-gov 9-10 Married-civ-spouse Protective-serv Husband White Male 0 0 40 United-States >50K 
31-42 Private >=11 Married-civ-spouse Prof-specialty Husband White Male 0 0 >40 United-States <=50K 
<=30 Private <=8 Never-married Sales Not-in-family White Male 0 0 40 United-States <=50K 
>=43 Federal-gov >=11 Never-married Prof-specialty Not-in-family White Female 0 0 >40 United-States >50K 
>=43 Private >=11 Married-civ-spouse Prof-specialty Husband White Male 0 0 40 United-States <=50K 
31-42 Private 9-10 Divorced Craft-repair Unmarried White Female 0 0 40 United-States <=50K 
<=30 Private 9-10 Divorced Machine-op-inspct Unmarried Black Female 0 0 <40 United-States <=50K 
<=30 Private 9-10 Married-civ-spouse Sales Wife Asian-Pac-Islander Female 0 >0 <40 Others <=50K 
31-42 Local-gov >=11 Married-civ-spouse Protective-serv Husband White Male 0 0 40 United-States >50K 
<=30 Local-gov 9-10 Never-married Handlers-cleaners Not-in-family White Male 0 0 >40 United-States <=50K 
>=43 Self-emp-not-inc >=11 Married-civ-spouse Prof-specialty Husband White Male 0 >0 >40 United-States >50K 
31-42 Private 9-10 Married-civ-spouse Sales Husband White Male 0 0 >40 United-States >50K 
>=43 Private >=11 Divorced Exec-managerial Unmarried White Female 0 0 40 Others <=50K 
31-42 Federal-gov 9-10 Never-married Other-service Own-child Black Male 0 0 40 United-States <=50K 
>=43 Private >=11 Married-civ-spouse Exec-managerial Husband White Male 0 0 40 United-States >50K 
>=43 Private >=11 Married-civ-spouse Exec-managerial Husband White Male >0 0 >40 United-States >50K 
>=43 Self-emp-not-inc >=11 Never-married Prof-specialty Not-in-family White Female 0 0 >40 United-States <=50K 
<=30 Private 9-10 Never-married Tech-support Own-child White Female 0 0 40 United-States <=50K 
<=30 Private 9-10 Never-married Craft-repair Not-in-family White Male 0 0 40 United-States <=50K 
31-42 Self-emp-inc 9-10 Married-civ-spouse Craft-repair Husband White Male >0 0 40 United-States >50K 
<=30 ? <=8 Never-married ? Own-child White Female >0 0 <40 United-States <=50K 
<=30 Private <=8 Never-married Handlers-cleaners Own-child White Male 0 0 40 United-States <=50K 
31-42 Local-gov 9-10 Never-married Adm-clerical Not-in-family White Female 0 0 40 United-States <=50K 
31-42 Private 9-10 Married-civ-spouse Handlers-cleaners Husband White Male 0 0 40 United-States <=50K 
<=30 Private >=11 Never-married Sales Other-relative White Male 0 0 40 United-States <=50K 
31-42 Private >=11 Married-civ-spouse Prof-specialty Husband White Male 0 0 40 United-States >50K 
>=43 Self-emp-not-inc 9-10 Married-civ-spouse Other-service Husband White Male 0 >0 >40 Others >50K 
